state,case_type,count,date,time,travel_history_count
,death,3,11/4/2020,9:30pm,
Lagos,discharged,5,12/4/2020,9:10pm,
Ogun,discharged,6,12/4/2020,9:10pm,
FCT,discharged,4,12/4/2020,9:10pm,
Lagos,confirmed,2,12/4/2020,9:10pm,
Kwara,confirmed,2,12/4/2020,9:10pm,
Katsina,confirmed,1,12/4/2020,9:10pm,
Lagos,confirmed,13,13/04/2020,9:50pm,
Edo,confirmed,2,13/04/2020,9:50pm,
Kano,confirmed,2,13/04/2020,9:50pm,
Ogun,confirmed,2,13/04/2020,9:50pm,
Ondo,confirmed,1,13/04/2020,9:50pm,
,discharged,11,13/04/2020,9:50pm,
Lagos,confirmed,14,14/04/2020,9:20pm,
FCT,confirmed,2,14/04/2020,9:20pm,
Kano,confirmed,1,14/04/2020,9:20pm,
Akwa Ibom,confirmed,1,14/04/2020,9:20pm,
Edo,confirmed,1,14/04/2020,9:20pm,
Lagos,discharged,8,14/04/2020,9:20pm,
Lagos,confirmed,11,14/04/2020,11:00pm,
Lagos,confirmed,18,15/04/2020,11:20pm,
Kano,confirmed,12,15/04/2020,11:20pm,
Katsina,confirmed,2,15/04/2020,11:20pm,
Delta,confirmed,1,15/04/2020,11:20pm,
Niger,confirmed,1,15/04/2020,11:20pm,
Lagos,discharged,16,15/04/2020,11:20pm,
FCT,discharged,12,15/04/2020,11:20pm,
Ekiti,discharged,1,15/04/2020,11:20pm,
Enugu,discharged,1,15/04/2020,11:20pm,
Rivers,discharged,1,15/04/2020,11:20pm,
Kano,death,1,15/04/2020,11:20pm,
Lagos,confirmed,19,16/04/2020,10:20pm,
FCT,confirmed,9,16/04/2020,10:20pm,
Kano,confirmed,5,16/04/2020,10:20pm,
Oyo,confirmed,2,16/04/2020,10:20pm,
Lagos,discharged,5,16/04/2020,10:20pm,
Osun,discharged,6,16/04/2020,10:20pm,
Edo,discharged,5,16/04/2020,10:20pm,
Oyo,discharged,1,16/04/2020,10:20pm,
Ogun,discharged,3,16/04/2020,10:20pm,
Akwa Ibom,discharged,3,16/04/2020,10:20pm,
Enugu,discharged,1,16/04/2020,10:20pm,
Lagos,confirmed,31,17/04/2020,10:10pm,
Kano,confirmed,6,17/04/2020,10:10pm,
Kwara,confirmed,5,17/04/2020,10:10pm,
FCT,confirmed,2,17/04/2020,10:10pm,
Oyo,confirmed,2,17/04/2020,10:10pm,
Katsina,confirmed,2,17/04/2020,10:10pm,
Ogun,confirmed,1,17/04/2020,10:10pm,
Ekiti,confirmed,1,17/04/2020,10:10pm,
Edo,discharged,5,17/04/2020,10:10pm,
Lagos,death,4,17/04/2020,10:10pm,
Edo,discharged,1,17/04/2020,10:10pm,
Kaduna,discharged,4,17/04/2020,10:10pm,
Ekiti,discharged,1,17/04/2020,10:10pm,
Rivers,discharged,1,17/04/2020,10:10pm,
Lagos,confirmed,23,18/04/2020,10:40pm,
FCT,confirmed,12,18/04/2020,10:40pm,
Kano,confirmed,10,18/04/2020,10:40pm,
Ogun,confirmed,2,18/04/2020,10:40pm,
Oyo,confirmed,1,18/04/2020,10:40pm,
Ekiti,confirmed,1,18/04/2020,10:40pm,
,death,3,18/04/2020,10:40pm,
,discharged,7,18/04/2020,10:40pm,
